car_id,brand,model,year,transmission,mileage,fuel_type,tax,mpg,engine_size,paint_quality,previous_owners,has_damage
54985,Toyota,C-HR,2017,Automatic,23552.0,Hybrid,95.0,74.3,1.8,58.0,4,False
26205,Ford,Focus,2015,Manual,37737.0,Diesel,95.0,67.3,2.0,57.0,1,False
34283,Hyundai,Kona,2019,Manual,20189.0,Petrol,150.0,44.1,1.0,62.0,4,False
35019,Mercedes,M-Class,2015,Automatic,49355.0,Diesel,175.0,46.3,2.1,67.0,4,False
35554,Mercedes,CLS-Class,2017,Automatic,21494.0,Diesel,165.0,51.4,3.0,86.0,0,False
19047,Ford,Fiesta,2016,Manual,15636.0,Petrol,125.0,54.3,1.2,87.0,0,False
70773,VW,Passat,2015,Manual,,Diesel,95.0,68.9,2.0,40.0,2,False
18898,Ford,Fiesta,2016,Manual,23053.0,Petrol,125.0,54.3,1.2,40.0,2,False
38281,Mercedes,C-Class,2019,Semi-Auto,4504.0,Petrol,145.0,30.4,3.0,87.0,0,False
4632,Audi,,2018,Manual,25955.0,Diesel,145.0,51.4,1.6,37.0,1,False
25058,Ford,Focus,2016,Manual,16327.0,Diesel,,,1.5,70.0,3,False
23294,Ford,Kuga,2018,Manual,16370.0,Diesel,145.0,64.2,1.5,54.0,1,False
28438,Ford,Fiesta,2018,Manual,28138.0,Petrol,145.0,,1.0,70.0,1,False
70984,VW,Tiguan,2018,Manual,3403.0,Petrol,145.0,46.3,1.4,79.0,1,False
19890,Ford,Focus,2019,Manual,11085.0,Diesel,,,1.5,88.0,3,False
1791,Audi,A1,2017,Manual,24001.0,Diesel,145.0,76.3,1.6,61.0,1,False
48602,Skoda,Fabia,2019,Manual,5078.0,Petrol,145.0,57.7,1.0,49.0,3,False
71442,VW,,2020,Automatic,156.0,Petrol,145.0,32.8,2.0,87.0,4,False
32403,Hyundai,i30,2016,Manual,31334.0,Petrol,175.0,38.7,1.6,79.0,4,False
24432,Ford,Kuga,2017,Manual,33059.0,Diesel,125.0,60.1,2.0,52.0,0,False
60158,Opel,Mokka X,2019,Manual,14084.0,Petrol,145.0,39.2,1.4,40.0,4,False
4266,Audi,A1,2014,Manual,51451.0,Petrol,125.0,52.3,1.4,58.0,3,False
36719,Mercedes,GLC-Class,2019,Automatic,8268.0,Diesel,150.0,44.8,2.0,75.0,2,False
64244,Opel,Corsa,2017,Manual,17000.0,Petrol,145.0,55.4,1.4,41.0,2,False
47426,Skoda,Superb,2019,Automatic,2182.0,Petrol,145.0,38.2,2.0,83.0,2,False
44252,Mercedes,C-Class,2019,Automatic,4999.0,Diesel,145.0,61.4,2.0,61.0,3,False
65019,Opel,Corsa,2017,Manual,34745.0,Petrol,95.0,55.4,1.4,64.0,2,False
56894,Opel,Corsa,2017,Automatic,29578.0,Petrol,150.0,47.9,1.4,51.0,1,False
2088,Audi,Q3,2016,Manual,69941.0,Diesel,145.0,52.3,2.0,40.0,0,False
5651,Audi,A5,2019,Automatic,8000.0,Diesel,145.0,48.7,2.0,41.0,6,False
36019,Mercedes,SL-Class,2019,Semi-Auto,2000.0,Petrol,145.0,47.1,2.0,78.0,2,False
11486,BMW,X3,2019,Automatic,2209.0,Petrol,145.0,24.8,3.0,65.0,2,False
6232,Audi,RS5,2017,Semi-Auto,18630.0,Petrol,145.0,32.5,2.9,38.0,2,False
52983,Toyota,GT86,2019,Semi-Auto,16241.0,Petrol,145.0,32.8,,89.0,0,False
73524,VW,Golf,2016,Manual,22474.0,Diesel,95.0,67.3,2.0,40.0,2,False
65776,VW,Golf,2019,Automatic,15437.0,,145.0,45.6,1.0,68.0,3,False
48627,Skoda,Kodiaq,2018,Automatic,21356.0,Diesel,145.0,49.6,2.0,58.0,4,False
26955,Ford,Grand C-Max,2013,Manual,58873.0,Diesel,125.0,60.1,1.6,90.0,2,False
45305,Mercedes,C-Class,2019,Semi-Auto,2086.0,Petrol,145.0,44.1,1.5,72.0,2,False
8952,BMW,1 Series,2016,Manual,31095.0,Diesel,95.0,83.1,1.5,49.0,1,False
31711,Hyundai,Kona,2018,Manual,8093.0,Petrol,150.0,54.3,1.0,51.0,2,False
10129,BMW,X1,2017,Manual,25818.0,Diesel,125.0,60.1,2.0,54.0,4,False
42289,Mercedes,C-Class,2016,Semi-Auto,38395.0,Diesel,,,2.1,51.0,0,False
15869,Ford,Fiesta,2017,Manual,9521.0,Petrol,145.0,54.3,1.2,71.0,1,False
22955,Ford,Fiesta,2017,Manual,7450.0,Petrol,150.0,64.2,1.1,77.0,3,False
30802,Ford,Kuga,2019,Semi-Auto,3357.0,Diesel,145.0,42.2,2.0,33.0,2,False
775,Audi,A3,2017,Semi-Auto,28522.0,Diesel,95.0,61.4,2.0,35.0,0,False
20808,Ford,Focus,2014,Manual,40155.0,Petrol,95.0,60.1,1.0,36.0,0,False
72367,VW,T-Crossland,2023,Manual,4673.0,Petrol,145.0,47.9,1.0,91.0,2,False
24137,Ford,B-Max,2013,Manual,35000.0,Petrol,145.0,47.1,1.4,46.0,4,False
57104,Opel,Corsa,2013,Manual,69941.0,Petrol,125.0,51.4,1.4,50.0,1,False
10181,BMW,X3,2017,Semi-Auto,60000.0,Diesel,150.0,54.3,2.0,69.0,1,False
58458,Opel,Corsa,2017,Manual,22623.0,Petrol,175.0,55.4,1.4,58.0,2,False
23028,Ford,C-Max,2008,Manual,27930.0,Petrol,175.0,39.8,1.8,73.0,2,False
12682,BMW,3 Series,2017,Automatic,22248.0,Diesel,150.0,64.2,2.0,98.0,3,False
39901,Mercedes,A-Class,2018,Semi-Auto,12158.0,,145.0,65.7,1.5,58.0,2,False
62727,Opel,Corsa,2018,Manual,15412.0,Petrol,145.0,55.4,1.4,36.0,2,False
28714,Ford,C-Max,2013,Manual,50000.0,Diesel,95.0,61.4,1.6,55.0,3,False
55822,Opel,Corsa,2017,Manual,15246.0,Petrol,145.0,55.4,1.4,58.0,1,False
24210,Ford,B-Max,2016,,18755.0,Diesel,95.0,74.4,1.5,92.0,20,False
45847,Mercedes,C-Class,2017,Automatic,14161.0,Diesel,145.0,67.3,2.1,75.0,3,False
73912,VW,Tiguan,2015,Semi-Auto,52066.0,Diesel,175.0,47.7,2.0,34.0,1,False
68279,VW,T-Crossland,2019,Manual,3526.0,Petrol,145.0,47.9,1.0,57.0,3,False
9934,BMW,I8,2014,Automatic,41237.0,Hybrid,95.0,87.55,1.5,94.0,1,False
18245,Ford,Fiesta,2019,Manual,,Petrol,145.0,58.9,1.0,60.0,4,False
26707,Ford,Focus,0,Manual,16611.0,Petrol,,,1.0,50.0,1,False
18948,Ford,EcoSport,2017,Manual,37560.0,Petrol,145.0,53.3,1.0,96.0,1,False
60308,Opel,Corsa,2017,Manual,13370.0,Petrol,150.0,55.4,1.4,40.0,4,False
1380,Audi,Q3,2019,,2550.0,Diesel,145.0,42.8,2.0,80.0,4,False
62553,Opel,,2015,Manual,69941.0,Petrol,95.0,55.4,1.4,85.0,2,False
52478,Toyota,Auris,2016,Automatic,48315.0,Hybrid,95.0,72.4,1.8,70.0,4,False
18466,Ford,Focus,2017,Manual,,Petrol,,,1.5,74.0,1,False
733,Audi,A3,2017,Semi-Auto,35329.0,Petrol,150.0,47.9,2.0,54.0,0,False
57771,Opel,Corsa,2017,Manual,18294.0,Petrol,145.0,55.4,1.4,70.0,2,False
66402,VW,Passat,2017,Manual,30051.0,Diesel,145.0,68.9,2.0,98.0,4,False
74872,VW,T-Roc,2019,Automatic,12540.0,Petrol,,39.8,1.5,65.0,0,False
54336,Toyota,RAV4,2016,Manual,27232.0,Diesel,125.0,60.1,2.0,51.0,2,False
67189,VW,Golf,2019,Manual,3500.0,Diesel,145.0,57.7,1.6,49.0,4,False
65871,VW,Golf,2016,Manual,46246.0,Diesel,95.0,67.3,2.0,55.0,4,False
51975,Toyota,AYGO,2016,Manual,31245.0,Petrol,95.0,69.0,1.0,49.0,0,False
72530,VW,Golf SV,2018,,7729.0,Petrol,145.0,54.3,0.1864248827577972,45.0,0,False
15378,Ford,Focus,2018,Manual,14130.0,Diesel,,,1.5,84.0,0,False
64987,Opel,Corsa,2015,Manual,35400.0,Petrol,125.0,51.4,1.4,59.0,4,False
33591,Hyundai,Tucson,2019,Manual,9493.0,Diesel,145.0,45.6,1.6,45.0,1,False
64381,Opel,,2017,Manual,20390.0,Petrol,145.0,47.1,1.4,55.0,1,False
15291,Ford,Focus,2016,Manual,42792.0,Diesel,95.0,70.6,2.0,46.0,4,False
43035,Mercedes,GLE-Class,2019,Semi-Auto,2532.0,Diesel,145.0,36.7,2.0,58.0,1,False
40443,Mercedes,GLA-Class,2016,Semi-Auto,21634.0,Diesel,125.0,56.5,,70.0,4,False
44972,Mercedes,C-Class,2019,Semi-Auto,8023.0,Petrol,145.0,29.7,3.0,55.0,0,False
22282,Ford,Focus,2016,Manual,69941.0,Diesel,,,,49.0,4,False
52982,Toyota,Yaris,2017,Manual,29399.0,Petrol,145.0,58.9,1.5,46.0,2,False
9068,BMW,X3,2019,Semi-Auto,3934.0,Diesel,145.0,54.3,2.0,91.0,3,False
10713,BMW,3 Series,2019,Semi-Auto,8765.0,Petrol,145.0,41.5,2.0,74.0,1,False
20054,Ford,Focus,2017,Manual,28414.0,Diesel,,,1.5,82.0,3,False
45801,Mercedes,C-Class,2019,Semi-Auto,10104.0,Petrol,,,3.0,93.0,1,False
47640,Skoda,Karoq,2018,Manual,11022.0,Diesel,145.0,21.549999999999997,2.0,96.0,4,False
22538,,Focus,2018,Manual,15071.0,Diesel,145.0,74.3,1.5,99.0,3,False
22508,Ford,Ka,2015,Manual,48085.0,Petrol,95.0,57.7,1.2,95.0,2,False
30509,Ford,Focus,2016,Automatic,8598.0,Petrol,,,1.5,48.0,0,False
29659,,Fiesta,2014,Manual,18980.0,Petrol,95.0,65.7,1.0,63.0,3,False
35116,Mercedes,C-Class,2014,Semi-Auto,54230.0,Diesel,,,2.1,64.0,1,False
15259,Ford,Focus,2018,Manual,9775.0,Petrol,145.0,41.5,2.0,46.0,2,False
21721,Ford,Fiesta,2019,Manual,5120.0,Petrol,150.0,56.5,1.0,86.0,4,False
65319,Opel,Corsa,2017,Manual,14994.0,Petrol,145.0,55.4,1.4,92.0,2,False
75203,VW,Golf,2016,Manual,26500.0,Diesel,95.0,74.3,1.6,54.0,2,True
74771,VW,Polo,2012,Manual,62432.0,Petrol,125.0,51.4,1.2,58.0,4,False
48511,Skoda,Fabia,2017,Automatic,25480.0,Petrol,95.0,60.1,1.2,95.0,0,False
57842,Opel,Astra,2016,Manual,18400.0,Petrol,175.0,43.5,1.6,38.0,1,False
55655,Toyota,Auris,2016,Automatic,24023.0,Hybrid,95.0,78.5,1.8,39.0,2,False
15481,Ford,Fiesta,2015,Manual,18534.0,Petrol,125.0,54.3,1.2,81.0,0,False
62906,Opel,Corsa,2015,Manual,26582.0,Petrol,95.0,57.6,1.0,85.0,0,False
50088,Skoda,Citigo,2018,Manual,10525.0,Petrol,145.0,64.2,1.0,72.0,2,False
29949,Ford,Ka+,2017,Manual,10094.0,Petrol,145.0,57.7,1.2,71.0,4,False
20890,Ford,Fiesta,2018,Automatic,23624.0,Petrol,145.0,87.55,1.0,69.0,0,False
52693,Toyota,Yaris,2017,Manual,58000.0,Petrol,95.0,58.0,1.3,78.0,0,False
17001,Ford,S-Max,2018,Manual,19896.0,Diesel,145.0,56.5,2.6312004729689877,37.0,1,False
12785,BMW,X3,2019,Semi-Auto,7776.0,Diesel,150.0,48.7,3.0,62.0,3,False
44841,Mercedes,C-Class,2015,Automatic,34278.0,Diesel,95.0,62.8,2.1,79.0,1,False
