car_id,mileage,tax,mpg,engine_size,paint_quality,previous_owners,brand,model,transmission,fuel_type,year,has_damage
54985,23552.0,95.0,74.3,1.8,58.0,4,Toyota,C-HR,Automatic,Hybrid,2017,False
26205,37737.0,95.0,67.3,2.0,57.0,1,Ford,Focus,Manual,Diesel,2015,False
34283,20189.0,150.0,44.1,1.0,62.0,4,Hyundai,Kona,Manual,Petrol,2019,False
35019,49355.0,175.0,46.3,2.1,67.0,4,Mercedes,M-Class,Automatic,Diesel,2015,False
35554,21494.0,165.0,51.4,3.0,86.0,0,Mercedes,CLS-Class,Automatic,Diesel,2017,False
19047,15636.0,125.0,54.3,1.2,87.0,0,Ford,Fiesta,Manual,Petrol,2016,False
70773,24569.0,95.0,68.9,2.0,40.0,2,VW,Passat,Manual,Diesel,2015,False
18898,23053.0,125.0,54.3,1.2,40.0,2,Ford,Fiesta,Manual,Petrol,2016,False
38281,4504.0,145.0,30.4,3.0,87.0,0,Mercedes,C-Class,Semi-Auto,Petrol,2019,False
4632,25955.0,145.0,51.4,1.6,37.0,1,Audi,,Manual,Diesel,2018,False
25058,16327.0,141.5,50.34406285273686,1.5,70.0,3,Ford,Focus,Manual,Diesel,2016,False
23294,16370.0,145.0,64.2,1.5,54.0,1,Ford,Kuga,Manual,Diesel,2018,False
28438,28138.0,145.0,51.315,1.0,70.0,1,Ford,Fiesta,Manual,Petrol,2018,False
70984,3403.0,145.0,46.3,1.4,79.0,1,VW,Tiguan,Manual,Petrol,2018,False
19890,11085.0,145.25,54.90547447720335,1.5,88.0,3,Ford,Focus,Manual,Diesel,2019,False
1791,24001.0,145.0,76.3,1.6,61.0,1,Audi,A1,Manual,Diesel,2017,False
48602,5078.0,145.0,57.7,1.0,49.0,3,Skoda,Fabia,Manual,Petrol,2019,False
71442,156.0,145.0,32.8,2.0,87.0,4,VW,,Automatic,Petrol,2020,False
32403,31334.0,175.0,38.7,1.6,79.0,4,Hyundai,i30,Manual,Petrol,2016,False
24432,33059.0,125.0,60.1,2.0,52.0,0,Ford,Kuga,Manual,Diesel,2017,False
60158,14084.0,145.0,39.2,1.4,40.0,4,Opel,Mokka X,Manual,Petrol,2019,False
4266,51451.0,125.0,52.3,1.4,58.0,3,Audi,A1,Manual,Petrol,2014,False
36719,8268.0,150.0,44.8,2.0,75.0,2,Mercedes,GLC-Class,Automatic,Diesel,2019,False
64244,17000.0,145.0,55.4,1.4,41.0,2,Opel,Corsa,Manual,Petrol,2017,False
47426,2182.0,145.0,38.2,2.0,83.0,2,Skoda,Superb,Automatic,Petrol,2019,False
44252,4999.0,145.0,61.4,2.0,61.0,3,Mercedes,C-Class,Automatic,Diesel,2019,False
65019,34745.0,95.0,55.4,1.4,64.0,2,Opel,Corsa,Manual,Petrol,2017,False
56894,29578.0,150.0,47.9,1.4,51.0,1,Opel,Corsa,Automatic,Petrol,2017,False
2088,69941.0,145.0,52.3,2.0,40.0,0,Audi,Q3,Manual,Diesel,2016,False
5651,8000.0,145.0,48.7,2.0,41.0,6,Audi,A5,Automatic,Diesel,2019,False
